txn_id,date,amount,currency,description,matched_counterparty,counterparty_id,match_tier,counterparty_default_coa
100072,2023-08-12,-250.00,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 10/08/2023,,,none,
100073,2023-08-14,-496.22,AUD,Direct Debit 066429 Linkt Melbourne 96753313-758377209,Linkt Melbourne,310,L1/L2,5020
100074,2023-08-14,-14.04,AUD,63.00.60V O.372D.100S.3R.LS 3030 3R852ZZ 6.4.87652.94301 16 Aug DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 14/08/20,,,none,
100075,2023-08-16,-14.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 14/08/2023,,,none,
100076,2023-08-16,-191.24,AUD,STONLY.COM STONLY.COM NY US Card xx0338 USD 124.00 Value Date: 14/08/2023,Stonly,451,L1/L2,6701
100077,2023-08-16,-5.74,AUD,International Transaction Fee Value Date: 13/08/2023,,,none,
100078,2023-08-16,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-rGvQJvIR,,,none,
100079,2023-08-16,250.00,AUD,Direct Credit 158824 Drivemate Drivemate-0ZNRCuz5,,,none,
100080,2023-08-16,250.00,AUD,Direct Credit 158824 Drivemate Drivemate-3AKxaAZy,,,none,
100081,2023-08-16,-13.82,AUD,SUPERBLOG.AI PAMUR IN Card xx0338 USD 9.00 Value Date: 12/08/2023,Superblog,452,L3,6701
100082,2023-08-16,-0.41,AUD,International Transaction Fee Value Date: 11/08/2023,,,none,
100083,2023-08-18,-250.00,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 16/08/2023,,,none,
100084,2023-08-18,-250.00,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 16/08/2023,,,none,
100085,2023-08-18,-127.10,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 16/08/2023,,,none,
100086,2023-08-18,-14.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 16/08/2023,,,none,
100087,2023-08-18,-14.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 16/08/2023,,,none,
100088,2023-08-18,-15.00,AUD,TECHCRUNCH EVELEIGH AU Card xx0338 Value Date: 14/08/2023,,,none,
100089,2023-08-18,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-zrIpUoJX,,,none,
100090,2023-08-18,-106.54,AUD,CORAL PETROLEUM WILEY PARK AU Card xx0338,,,none,
100091,2023-08-18,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-xXgpe1Ig,,,none,
100092,2023-08-18,-10.00,AUD,CORAL PETROLEUM WILEY PARK AU Card xx0338,,,none,
100093,2023-08-19,-930.23,AUD,ADJUST GMBH BERLIN DE Card xx0338 USD 600.00 Value Date: 17/08/2023,Adjust,364,L1/L2,6701
100094,2023-08-19,-27.91,AUD,International Transaction Fee Value Date: 16/08/2023,,,none,
100095,2023-08-19,-791.45,AUD,Transfer to CBA A/c CommBank app SG tickets,,,none,
100096,2023-08-19,7.50,AUD,63.00.60V O.372D.100S.3R.LS 3030 3R852ZZ 6.5.97652.94301 21 Aug Direct Credit 158824 Drivemate Drivemate-PHbOJf1c,,,none,
100097,2023-08-22,-10.48,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx0338 Value Date: 19/08/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100098,2023-08-22,-25.16,AUD,DidiChuxing DIDI MOBILITY Sydney AU Card xx0338 Value Date: 18/08/2023,Didi Mobility,385,L1/L2,6400
100099,2023-08-22,-830.00,AUD,RACQ CommBank app BPAY 4 94110000332911 FTI00079542,RACQ,123,L1/L2,5033
100100,2023-08-22,-30.00,AUD,RACQ CommBank app BPAY 4 94110000332911 FTI00080075,RACQ,123,L1/L2,5033
100101,2023-08-23,-9.42,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx0338 Value Date: 21/08/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100102,2023-08-24,250.00,AUD,Return DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 21/08/2023,,,none,
100103,2023-08-24,75.00,AUD,Direct Credit 158824 Drivemate Drivemate-32OAjvgy,,,none,
100104,2023-08-26,-102.57,AUD,SURFSHARK* SURFSHARK.C HTTPSSURFSHAR DE Card xx0338 USD 65.74 Value Date: 24/08/2023,,,none,
100105,2023-08-26,-3.08,AUD,International Transaction Fee Value Date: 24/08/2023,,,none,
100106,2023-08-29,-86.40,AUD,OFFICEWORKS 0220 NORTH RYDE AU Card xx0338 Value Date: 26/08/2023,Officeworks,601,L1/L2,6310
100107,2023-08-29,33010.56,AUD,DRIVE LAH VENTURES HOLDING PTE. LTD /ROC/EBOTT30828314740 REF 2023082900004980 SGD 30000.00000 Rate:0.9088,Elite Car Ventures,67,L3,5032
100108,2023-08-29,-5091.00,AUD,Transfer To Chih-Yen Lin CommBank App Aug salary,Chih-Yen Lin,512,L1/L2,6014
100109,2023-08-29,2950.00,AUD,Transfer from CommBank app VR,UBER *TRIP,329,L1/L2,6400
100110,2023-08-29,850.00,AUD,Transfer from CommBank app VR,UBER *TRIP,329,L1/L2,6400
100111,2023-08-29,-724.00,AUD,Transfer to CBA A/c CommBank app Extra back,,,none,
100112,2023-08-30,-20260.29,AUD,Transfer To Insuret Premium Account CommBank App FLE22030780A/08/01,Insuret,86,L1/L2,
100113,2023-08-30,-34.10,AUD,METROPOLITAN TOWING MOUNT DRUITT AU Card xx0338,,,none,
100114,2023-08-30,-120.19,AUD,Star Car Wash Mt Drui Mount Druitt AU,,,none,
100115,2023-08-31,-2.49,AUD,GOOGLE*GOOGLE STORAGE G.CO/HELPPAY# AU Card xx0338 Value Date: 27/08/2023,Google,398,L1/L2,6700
100116,2023-09-01,-250.00,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 30/08/2023,,,none,
100117,2023-09-01,-14.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 30/08/2023,,,none,
100118,2023-09-01,-14.04,AUD,63.00.60V O.372D.100S.3R.LS 3030 3R852ZZ 6.5.97652.94301 01 Sep DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 30/08/20,,,none,
100119,2023-09-01,-14.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 30/08/2023,,,none,
100120,2023-09-02,-5.42,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx0338 Value Date: 01/09/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100121,2023-09-02,-49.14,AUD,DRIVE MATE ZETLAND AU Card xx0338 Value Date: 31/08/2023,,,none,
100122,2023-09-04,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-T28IQia5,,,none,
100123,2023-09-04,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-90p5dqfq,,,none,
100124,2023-09-04,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-pNQDJQFs,,,none,
100125,2023-09-04,-654.95,AUD,WWW.DIGITALMATTER.COM,Digital matter,65,L1/L2,5030
100126,2023-09-05,-90.20,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 01/09/2023,,,none,
100127,2023-09-05,-375.55,AUD,AFCA MELBOURNE AU Card xx0338 Value Date: 01/09/2023,Australian Financial Complaints Authority,650,L1/L2,5025
100128,2023-09-07,32000.00,AUD,Direct Credit 509196 INSURET CLAIM 0823x0487,Insuret,86,L1/L2,
100129,2023-09-08,46.80,AUD,Direct Credit 412393 ECOLLECT.COM.AU DRIYG002-2023/08,,,none,
100130,2023-09-08,-99.00,AUD,Direct Debit 344508 AUSSIE BROADBAND 8231968CN8202541,Aussie Broadband,493,L1/L2,6700
100131,2023-09-09,-24.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 07/09/2023,,,none,
100132,2023-09-12,-3147.12,AUD,Twilio G87Z4NRRTXKVMM42 844-8144627 CA U Card xx0338 USD 2000.00 Value Date: 08/09/2023,Twilio,148,L1/L2,6700
100133,2023-09-12,-94.41,AUD,International Transaction Fee Value Date: 08/09/2023,,,none,
100134,2023-09-12,-37.00,AUD,Intuit Quickbooks Sydney AU Card xx0338 Value Date: 10/09/2023,Intuit Quickbooks Sydney AU,302,L1/L2,6701
100135,2023-09-12,-333.93,AUD,Direct Debit 066429 Linkt Melbourne 100608474-75837720,Linkt Melbourne,310,L1/L2,5020
100136,2023-09-13,-24.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 11/09/2023,,,none,
100137,2023-09-13,-8000.00,AUD,Transfer To Gian Schiaffino NetBank UTI33 & 1XV51F,,,none,
100138,2023-09-13,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-Qux1sHZ2,,,none,
100139,2023-09-15,-24.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 13/09/2023,,,none,
100140,2023-09-15,7.50,AUD,63.00.60V O.372D.100S.3R.LS 3030 3R852ZZ 6.6.08652.94301 15 Sep Direct Credit 158824 Drivemate Drivemate-kxZXRH89,,,none,
100141,2023-09-16,-24.04,AUD,DRIVE MATE MELBOURNE AU Card xx0338 Value Date: 14/09/2023,,,none,
100142,2023-09-16,-193.57,AUD,STONLY.COM STONLY.COM NY US Card xx0338 USD 124.00 Value Date: 14/09/2023,Stonly,451,L1/L2,6701
100143,2023-09-16,-5.81,AUD,International Transaction Fee Value Date: 13/09/2023,,,none,
100144,2023-09-18,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-KlbkKMwu,,,none,
100145,2023-09-20,-15.00,AUD,TECHCRUNCH EVELEIGH AU Card xx8866 Value Date: 14/09/2023,,,none,
100146,2023-09-20,-8.00,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 16/09/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100147,2023-09-20,7.50,AUD,Direct Credit 158824 Drivemate Drivemate-rtmBMFyl,,,none,
100148,2023-09-21,-573.98,AUD,BINOID LLC 323-7769417 CA US Card xx8866 USD 367.98 Value Date: 15/09/2023,,,none,
100149,2023-09-21,-17.22,AUD,International Transaction Fee Value Date: 15/09/2023,,,none,
100150,2023-09-21,-608.28,AUD,BINOID LLC 323-7769417 CA US Card xx8866 USD 389.97 Value Date: 15/09/2023,,,none,
100151,2023-09-21,-18.25,AUD,International Transaction Fee Value Date: 15/09/2023,,,none,
100152,2023-09-21,-655.08,AUD,BINOID LLC 323-7769417 CA US Card xx8866 USD 419.97 Value Date: 15/09/2023,,,none,
100153,2023-09-21,-19.65,AUD,International Transaction Fee Value Date: 15/09/2023,,,none,
100154,2023-09-21,4000.00,AUD,Direct Credit 158824 Drivemate Drivemate-PtwHdsm1,,,none,
100155,2023-09-21,1.50,AUD,Direct Credit 158824 Drivemate Drivemate-uf06ZxLE,,,none,
100156,2023-09-22,-125.00,AUD,Transfer To Aussin auto parts CommBank App Wheels for Mazda 3,,,none,
100157,2023-09-22,-430.00,AUD,Transfer To Capital Auto Glass CommBank App INV 28875,Auto Glass,494,L1/L2,5032
100158,2023-09-22,-131.00,AUD,Transfer to xx3529 CommBank app KL tickets,,,none,
100159,2023-09-22,-125.00,AUD,Transfer to xx3529 CommBank app Mazda wheel,,,none,
100160,2023-09-23,-51.70,AUD,Transfer to xx3529 CommBank app MY VISA,,,none,
100161,2023-09-25,-75.00,AUD,Transfer to xx3529 CommBank app SG baggage,,,none,
100162,2023-09-26,-54.24,AUD,DidiChuxing DidiAU pendin Sydney AU Card xx8866 Value Date: 23/09/2023,Didi Mobility,385,L1/L2,6400
100163,2023-09-26,-3112.84,AUD,63.00.60V O.372D.100S.3R.LS 3030 3R852ZZ 6.6.08652.94301 26 Sep TWILIO INC TWILIO.COM CA US Card xx8866 USD 2000.00 Valu,Twilio,148,L1/L2,6700
100164,2023-09-26,-93.39,AUD,International Transaction Fee Value Date: 21/09/2023,,,none,
100165,2023-09-27,-15645.00,AUD,Transfer To Dirk-Jan Ter Horst CommBank App Salary,Dirk-Jan Ter Horst,268,L1/L2,6003
100166,2023-09-29,-5091.00,AUD,Transfer To Chih-Yen Lin CommBank App Salary,Chih-Yen Lin,512,L1/L2,6014
100167,2023-09-30,250.00,AUD,Return DRIVE MATE MELBOURNE AU Card xx8866 Value Date: 26/09/2023,,,none,
100168,2023-09-30,-96.00,AUD,Transfer to xx3529 CommBank app MY tickets,,,none,
100169,2023-10-02,61.01,AUD,Fast Transfer From Miss Roslyn Anne Macr Invoice #1E938D53-0003 Invoice #1E938D53-0003,,,none,
100170,2023-10-04,-16613.00,AUD,Transfer To Dirk-Jan Ter Horst CommBank App Salary,Dirk-Jan Ter Horst,268,L1/L2,6003
100171,2023-10-05,17.22,AUD,Rfnd O'Seas Transaction Value Date: 15/09/2023,,,none,
100172,2023-10-05,18.25,AUD,Rfnd O'Seas Transaction Value Date: 15/09/2023,,,none,
100173,2023-10-05,19.65,AUD,Rfnd O'Seas Transaction Value Date: 15/09/2023,,,none,
100174,2023-10-05,573.98,AUD,Adjust Purchase ADJUSTMENT TO ACCOUNT Card xx8866 AUD 573.98 Value Date: 15/09/2023,Adjust,364,L1/L2,6701
100175,2023-10-05,608.28,AUD,Adjust Purchase ADJUSTMENT TO ACCOUNT Card xx8866 AUD 608.28 Value Date: 15/09/2023,Adjust,364,L1/L2,6701
100176,2023-10-05,655.08,AUD,Adjust Purchase ADJUSTMENT TO ACCOUNT Card xx8866 AUD 655.08 Value Date: 15/09/2023,Adjust,364,L1/L2,6701
100177,2023-10-05,2010.00,AUD,73.00.60VO.463D.100S.3R.LS 3030 3R852ZZ 7.1.83661.2515 05 Oct Transfer from CommBank app VSR,,,none,
100178,2023-10-05,1084.00,AUD,Transfer from CommBank app Vsr,UBER *TRIP,329,L1/L2,6400
100179,2023-10-06,-174.00,AUD,Transfer to xx3529 CommBank app Sydney tickets,,,none,
100180,2023-10-06,113138.76,AUD,DRIVE LAH VENTURES HOLDING PTE. LTD /ROC/EBOTT31005566714 REF 2023100600009792 Fee AUD 10.00000 USD 74995.00000 Rate:0.6,,,none,
100181,2023-10-06,-43.89,AUD,Transfer to xx3529 CommBank app DM domain,,,none,
100182,2023-10-06,-20260.29,AUD,Transfer To Insuret Premium Account CommBank App Aug invoice,Insuret,86,L1/L2,
100183,2023-10-07,-100.50,AUD,Transfer to xx3529 CommBank app Airport cab,,,none,
100184,2023-10-07,-24.00,AUD,Transfer to xx3529 CommBank app Value car park,,,none,
100185,2023-10-09,98.43,AUD,Direct Credit 412393 ECOLLECT.COM.AU DRIYG002-2023/09,,,none,
100186,2023-10-10,-5.06,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 08/10/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100187,2023-10-11,-28.00,AUD,Transfer to xx3529 CommBank app Superblog,Superblog,452,L1/L2,6701
100188,2023-10-11,-99.00,AUD,Direct Debit 344508 AUSSIE BROADBAND 8483683CN8202541,Aussie Broadband,493,L1/L2,6700
100189,2023-10-12,-37.00,AUD,Intuit Quickbooks Sydney AU Card xx8866 Value Date: 09/10/2023,Intuit Quickbooks Sydney AU,302,L1/L2,6701
100190,2023-10-12,-23.80,AUD,814Pin* Chargefox Pty Ltd,,,none,
100191,2023-10-13,-7.95,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 12/10/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100192,2023-10-13,-9.42,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 12/10/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100193,2023-10-13,-14000.00,AUD,Transfer To The Hollard insurance compan CommBank App FLE0011497,The Hollard Insurance Company,658,L3,
100194,2023-10-13,-271.56,AUD,Direct Debit 066429 Linkt Melbourne 104573089-75837720,Linkt Melbourne,310,L1/L2,5020
100195,2023-10-14,-28.65,AUD,MCDONALDS THE STRAND SYDNEY AU Card xx8866 Value Date: 11/10/2023,,,none,
100196,2023-10-14,-46000.00,AUD,73.00.60V O.463D.100S.3R.LS 3030 3R852ZZ 7.2.93661.2515 14 Oct Transfer To J Keren-Black CommBank App BYD,Jonathan Keren-Black,559,L3,6501
100197,2023-10-17,-17200.00,AUD,Transfer To Rebecca Lee Kucic CommBank App Mazda payment,,,none,
100198,2023-10-17,-1478.33,AUD,Transfer To Rebecca Lee Kucic CommBank App 1DW8VL,,,none,
100199,2023-10-17,-20260.29,AUD,Transfer To Insuret Premium Account CommBank App Premium,Insuret,86,L1/L2,
100200,2023-10-18,-31.83,AUD,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA US Card xx8866 USD 20.00 Value Date: 16/10/2023,OPENAI (ChatGPT Subscription),301,L1/L2,6701
100201,2023-10-18,-0.95,AUD,International Transaction Fee Value Date: 16/10/2023,,,none,
100202,2023-10-19,38146.29,AUD,DRIVE LAH VENTURES HOLDING PTE. LTD /ROC/EBOTT31019653622 REF 2023101900031670 Fee AUD 10.00000 USD 25000.00000 Rate:0.6,,,none,
100203,2023-10-19,-5000.00,AUD,Transfer To Wise Australia Pty Ltd PayID Email from CommBank App Wise,,,none,
100204,2023-10-21,-1244.71,AUD,AIRASIA-AK-FLIGHT-INR KUALA LUMPUR MY Card xx8866 INR 65546.00 Value Date: 18/10/2023,Air Asia,367,L3,6400
100205,2023-10-21,-37.34,AUD,International Transaction Fee Value Date: 18/10/2023,,,none,
100206,2023-10-21,-59.00,AUD,Transfer to xx3529 CommBank app Car wash nathalia,,,none,
100207,2023-10-23,-676.29,AUD,Transfer to xx3529 CommBank app Retreat tickets,,,none,
100208,2023-10-23,10259.09,AUD,Direct Credit 509196 INSURET CLAIM 0823x1474,Insuret,86,L1/L2,
100209,2023-10-23,-4300.00,AUD,Transfer To Gian Schiaffino CommBank App Payout Holden viva,,,none,
100210,2023-10-24,-25.09,AUD,970Pin* Chargefox Pty Ltd,,,none,
100211,2023-10-26,-215.94,AUD,SERVICE NSW 4001 CHATSWOOD AU Card xx8866 Value Date: 24/10/2023,Service NSW,618,L1/L2,
100212,2023-10-27,-5091.00,AUD,Transfer To Chih-Yen Lin CommBank App Salary,Chih-Yen Lin,512,L1/L2,6014
100213,2023-10-27,-8.00,AUD,NEWS PTY LIMITED,NEWS PTY LIMITED,318,L1/L2,6100
100214,2023-10-28,-16492.13,AUD,Transfer To Dirk-Jan Ter Horst CommBank App Salary,Dirk-Jan Ter Horst,268,L1/L2,6003
100215,2023-10-30,22748.31,AUD,DRIVE LAH VENTURES HOLDING PTE. LTD /ROC/EBOTT31026709978 REF 2023103000014502 Fee AUD 10.00000 USD 15000.00000 Rate:0.6,,,none,
100216,2023-11-02,-255.00,AUD,LANDER NISSAN PROSPE PROSPECT AU Card xx8866 Value Date: 31/10/2023,,,none,
100217,2023-11-03,-13.00,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 02/11/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
100218,2023-11-03,-265.00,AUD,Transfer to xx3529 CommBank app Mazda 3 parts,,,none,
100219,2023-11-03,-110.00,AUD,73.00.60V O.463D.100S.3R.LS 3030 3R852ZZ 7.2.93661.2515 03 Nov Transfer to xx3529 CommBank app Mazda 3 sunvisor,,,none,
100220,2023-11-04,-62.95,AUD,SP DAILY BLOOMS KENSINGTON AU Card xx8866 Value Date: 02/11/2023,,,none,
100221,2023-11-06,-11.99,AUD,POST GORDON LPO NS AU Card xx8866,POST GORDON,321,L1/L2,5065
100222,2023-11-07,-5000.00,AUD,Transfer To Wise Australia Pty Ltd PayID Email from CommBank App Drive lah,,,none,
100223,2023-11-07,-99.00,AUD,Transfer To Luke Davies PayID Phone from CommBank App Mazda 3 tyre,,,none,
100224,2023-11-08,-11.99,AUD,POST GORDON LPO NS AU Card xx8866,POST GORDON,321,L1/L2,5065
100225,2023-11-09,-50.26,AUD,Transfer to xx3529 CommBank app Fuel for mazda,,,none,
100226,2023-11-09,-100.00,AUD,Transfer to xx3529 CommBank app Fixing mazda mirro,,,none,
100227,2023-11-09,-125.00,AUD,Transfer to xx3529 CommBank app Mazda wheel,,,none,
100228,2023-11-09,101.40,AUD,Direct Credit 412393 ECOLLECT.COM.AU DRIYG002-2023/10,,,none,
100229,2023-11-10,-99.00,AUD,Direct Debit 344508 AUSSIE BROADBAND 8741412CN8202541,Aussie Broadband,493,L1/L2,6700
100230,2023-11-11,-8.13,AUD,DidiChuxing DidiAU pendin Sydney AU Card xx8866 Value Date: 09/11/2023,Didi Mobility,385,L1/L2,6400
100231,2023-11-13,-26.29,AUD,AIRPORT RETAIL ENTER MASCOT AU Card xx8866,,,none,
100232,2023-11-13,-615.43,AUD,Direct Debit 066429 Linkt Melbourne 108725009-75837720,Linkt Melbourne,310,L1/L2,5020
100233,2023-11-14,-8.44,AUD,TRANSPORTFORNSW TAP SYDNEY AU Card xx8866 Value Date: 11/11/2023,TRANSPORTFORNSW TAP SYDNEY AU,298,L1/L2,6400
